40	12.11838
70	11.58879
100	10.80997
130	12.49221
160	11.05919
190	11.49533
220	11.52648
250	11.27726
280	11.37072
310	13.92523
340	11.49533
370	10.24922
400	9.127727
430	9.190031
460	9.252337
490	8.785047
520	9.065421
550	13.95639
580	13.14642
610	9.906543
640	8.753894
670	8.380062
700	7.133956
720	6.417446
750	6.542056
780	6.417446
810	5.451714
840	5.794393
870	6.074767
900	4.922119
930	5.202492
960	5.514019
1000	7.476636
1030	9.563863
1060	10.18692
1090	9.688474
1120	13.39564
1150	12.9595
1180	12.46106
1210	13.52025
1240	14.45483
1270	15.20249
1300	14.23676
1330	16.72897
1360	14.45483
1390	12.8972
1420	12.55452
1440	12.14953
