NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,148,.14970693,.14955722,.11342049E-01,.11342049E-01,7.6522043
1999,191,.98349590E-01,.47043608E-01,.95119476E-02,.20853996E-01,10.897469
2999,207,.71020085E-01,.16388404E-01,.90730190E-02,.29927015E-01,14.427568
3999,242,.61677602E-01,.33659495E-01,.95169544E-02,.39443970E-01,16.259717
4999,256,.52254315E-01,.14570590E-01,.91900826E-02,.48634052E-01,18.949043
5999,279,.46483314E-01,.17634079E-01,.94389915E-02,.58073044E-01,20.756638
6999,307,.43439755E-01,.25181449E-01,.92649460E-02,.67337990E-01,21.866861
7999,312,.39023717E-01,.81158669E-02,.88939667E-02,.76231956E-01,24.357087
8999,326,.36344708E-01,.14915317E-01,.90210438E-02,.85253000E-01,26.065974
9999,333,.33578208E-01,.86824686E-02,.89268684E-02,.94179869E-01,28.188063
10999,359,.32751054E-01,.24480338E-01,.93569756E-02,.10353684,28.736810
11999,387,.32321503E-01,.27596881E-01,.96971989E-02,.11323404,29.146209
12999,402,.31109062E-01,.16560980E-01,.90928078E-02,.12232685,30.307238
13999,413,.29565275E-01,.94975853E-02,.89740753E-02,.13130093,31.660691
14999,427,.28568340E-01,.14612246E-01,.90270042E-02,.14032793,32.723356
15999,439,.27476452E-01,.11099232E-01,.89819431E-02,.14930987,33.862051
16999,456,.27026291E-01,.19824161E-01,.91760159E-02,.15848589,34.597192
17999,471,.26400751E-01,.15767201E-01,.96349716E-02,.16812086,35.526329
18999,482,.25606719E-01,.11314930E-01,.92580318E-02,.17737889,36.623221
19999,485,.24533114E-01,.41356835E-02,.94740391E-02,.18685293,38.339525
20999,495,.23998212E-01,.13300711E-01,.92101097E-02,.19606304,39.412632
21999,503,.23354289E-01,.98325613E-02,.89349747E-02,.20499802,40.550075
22999,523,.23160276E-01,.18892174E-01,.92108250E-02,.21420884,40.743505
23999,548,.23168127E-01,.23348689E-01,.92329979E-02,.22344184,40.550616
24999,556,.22592897E-01,.87879528E-02,.90391636E-02,.23248100,41.580649
25999,565,.22123915E-01,.10399851E-01,.93288422E-02,.24180984,42.556393
