NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
999,133,.13296174,.13282878,.11052132E-01,.11052132E-01,12.453758
1999,154,.76666026E-01,.20426606E-01,.90689659E-02,.20121098E-01,19.578351
2999,159,.52806495E-01,.51112914E-02,.87950230E-02,.28916121E-01,27.250443
3999,164,.40871048E-01,.50766429E-02,.87699890E-02,.37686110E-01,34.431317
4999,170,.33724514E-01,.51455279E-02,.87928772E-02,.46478987E-01,40.964392
5999,171,.28269956E-01,.10026176E-02,.89869499E-02,.55465937E-01,48.598864
6999,174,.24521589E-01,.20351328E-02,.87461472E-02,.64212084E-01,55.291033
7999,183,.22674536E-01,.97470191E-02,.88870525E-02,.73099136E-01,59.844226
8999,211,.23140579E-01,.26868456E-01,.91898441E-02,.82288980E-01,58.416986
9999,232,.23012314E-01,.21858058E-01,.91099739E-02,.91398954E-01,59.002753
10999,240,.21655769E-01,.80916741E-02,.88620186E-02,.10026097,62.562847
11999,248,.20505164E-01,.78496555E-02,.88469982E-02,.10910797,65.883617
12999,250,.19073976E-01,.19011481E-02,.93450546E-02,.11845303,70.953362
13999,252,.17856723E-01,.20336504E-02,.93269348E-02,.12777996,75.931720
14999,254,.16774744E-01,.16281185E-02,.89240074E-02,.13670397,80.593986
15999,258,.15970067E-01,.39007169E-02,.88751316E-02,.14557910,84.493432
16999,259,.15098914E-01,.11613465E-02,.87909698E-02,.15437007,89.249145
17999,263,.14440957E-01,.32563423E-02,.88279247E-02,.16319799,92.915506
18999,273,.14173289E-01,.93555311E-02,.90579987E-02,.17225599,94.473894
19999,277,.13692073E-01,.45494583E-02,.88140965E-02,.18107009,97.871325
20999,279,.13090096E-01,.10511605E-02,.89550018E-02,.19002509,101.97400
21999,279,.12495304E-01,.52510717E-05,.87838173E-02,.19880891,106.68770
22999,280,.11999327E-01,.10883377E-02,.88012218E-02,.20761013,111.01210
23999,280,.11508948E-01,.23071002E-03,.87058544E-02,.21631598,115.66725
24999,280,.11060863E-01,.30728506E-03,.86929798E-02,.22500896,120.31551
25999,282,.10714483E-01,.20553312E-02,.87471008E-02,.23375607,124.10458
26999,282,.10317645E-01,.24765323E-06,.86739063E-02,.24242997,128.70968
27999,284,.10021765E-01,.20333008E-02,.88000298E-02,.25123000,132.44067
28999,284,.96770393E-02,.25063828E-04,.89070797E-02,.26013708,137.13621
29999,284,.93544708E-02,.30632284E-06,.87740421E-02,.26891112,141.76161
30999,284,.90527282E-02,.75333615E-06,.87299347E-02,.27764106,146.36376
31999,287,.88407122E-02,.22684288E-02,.87380409E-02,.28637910,149.38911
32999,293,.87585626E-02,.61298573E-02,.88138580E-02,.29519296,150.82748
33999,296,.85944707E-02,.31796012E-02,.87440014E-02,.30393696,153.71817
34999,297,.83775585E-02,.10027612E-02,.86951256E-02,.31263208,157.58236
35999,298,.81587967E-02,.50235308E-03,.89230537E-02,.32155514,161.53506
36999,300,.80157260E-02,.28653242E-02,.90408325E-02,.33059597,164.96739
37999,301,.78375566E-02,.12454656E-02,.90081692E-02,.33960414,168.89834
38999,301,.76391543E-02,.10006602E-03,.90119839E-02,.34861612,173.38035
39999,301,.74482836E-02,.45173395E-05,.89719296E-02,.35758805,177.84244
40999,301,.72667035E-02,.36789315E-05,.89578629E-02,.36654592,182.29753
41999,301,.71032892E-02,.40347003E-03,.89910030E-02,.37553692,186.76911
42999,303,.69848240E-02,.20094041E-02,.88820457E-02,.38441896,189.92200
43999,306,.68896435E-02,.27969750E-02,.89361668E-02,.39335513,192.42779
44999,307,.67383936E-02,.83549538E-04,.87249279E-02,.40208006,196.05397
45999,314,.67423419E-02,.69200103E-02,.88319778E-02,.41091204,195.88465
46999,320,.67099747E-02,.52211155E-02,.88450909E-02,.41975713,196.34140
47999,320,.65771405E-02,.33406941E-03,.86858273E-02,.42844296,200.40419
48999,323,.65030231E-02,.29454583E-02,.87511539E-02,.43719411,202.59413
49999,328,.64744197E-02,.50728820E-02,.87838173E-02,.44597793,203.50734
50999,329,.63760047E-02,.14553558E-02,.89221001E-02,.45490003,206.94633
51999,335,.63553761E-02,.53033353E-02,.89321136E-02,.46383214,207.22220
52999,338,.62934885E-02,.30753988E-02,.87327957E-02,.47256494,209.24560
53999,339,.61964597E-02,.10540262E-02,.86841583E-02,.48124909,212.46083
54999,340,.61012274E-02,.95878305E-03,.86870193E-02,.48993611,215.65835
55999,341,.60140233E-02,.12178804E-02,.86758137E-02,.49861193,218.83215
56999,341,.59095365E-02,.58384860E-04,.86500645E-02,.50726199,222.62851
57999,341,.58077468E-02,.58352407E-05,.86741447E-02,.51593614,226.43544
58999,341,.57110902E-02,.10509939E-03,.88629723E-02,.52479911,230.32525
59999,342,.56250040E-02,.54600930E-03,.86908340E-02,.53348994,233.45333
60999,344,.55675389E-02,.21196866E-02,.89251995E-02,.54241514,235.97582
61999,346,.55106685E-02,.20416335E-02,.86808205E-02,.55109596,238.36334
62999,346,.54241028E-02,.57114253E-04,.86500645E-02,.55974603,242.10472
63999,346,.53402351E-02,.56654680E-04,.86300373E-02,.56837606,245.83743
64999,347,.52739847E-02,.10340234E-02,.86240768E-02,.57700014,248.84669
65999,347,.51943833E-02,.20375304E-04,.86128712E-02,.58561301,252.56122
66999,348,.51176196E-02,.51289556E-04,.86429119E-02,.59425592,255.55054
67999,348,.50424040E-02,.30347846E-05,.86331367E-02,.60288906,259.26309
68999,348,.49697128E-02,.26784383E-04,.88460445E-02,.61173511,263.06719
69999,348,.48987823E-02,.46516109E-05,.86438656E-02,.62037897,266.78435
70999,348,.48299465E-02,.11505884E-04,.86190701E-02,.62899804,270.49085
71999,351,.47994004E-02,.26306604E-02,.86650848E-02,.63766313,271.86795
72999,351,.47347735E-02,.81701628E-04,.86128712E-02,.64627600,275.54005
73999,354,.47074089E-02,.27098170E-02,.86870193E-02,.65496302,276.87174
74999,354,.46483771E-02,.28008398E-03,.86131096E-02,.66357613,280.51275
75999,356,.46149591E-02,.21086396E-02,.88047981E-02,.67238092,282.63419
76999,356,.45550892E-02,.50397085E-05,.87661743E-02,.68114710,286.31903
77999,356,.44972153E-02,.40984173E-04,.86569786E-02,.68980408,289.95798
78999,357,.44555691E-02,.12072013E-02,.86619854E-02,.69846606,292.77467
79999,360,.44439538E-02,.35263591E-02,.86789131E-02,.70714498,293.93659
80999,360,.43938597E-02,.38638328E-03,.86269379E-02,.71577191,297.52253
81999,363,.43730856E-02,.26904082E-02,.86631775E-02,.72443509,298.62891
82999,367,.43632745E-02,.35587725E-02,.86858273E-02,.73312092,298.90758
83999,371,.43611100E-02,.41814603E-02,.89221001E-02,.74204302,299.27535
84999,376,.43524231E-02,.36227305E-02,.87699890E-02,.75081301,298.77565
85999,380,.43500129E-02,.41451500E-02,.86929798E-02,.75950599,299.04549
86999,382,.43192786E-02,.16761592E-02,.86510181E-02,.76815701,300.86417
87999,386,.43229138E-02,.46391653E-02,.86839199E-02,.77684093,301.10435
88999,386,.42846249E-02,.91524316E-03,.86140633E-02,.78545499,304.44317
89999,386,.42371475E-02,.11709248E-04,.86269379E-02,.79408193,307.78698
90999,388,.42037082E-02,.11941989E-02,.86781979E-02,.80276012,309.54265
91999,390,.41720225E-02,.12886596E-02,.88858604E-02,.81164598,311.35989
92999,391,.41392659E-02,.11256927E-02,.86441040E-02,.82029009,313.86900
93999,391,.40963390E-02,.10417857E-03,.86050034E-02,.82889509,317.16155
94999,391,.40532636E-02,.42224532E-05,.85999966E-02,.83749509,320.45218
95999,391,.40114486E-02,.39061125E-04,.86188316E-02,.84611392,323.75002
96999,393,.39868823E-02,.16285440E-02,.86591244E-02,.85477304,325.39448
97999,399,.39933735E-02,.46230098E-02,.87289810E-02,.86350203,323.76132
98999,401,.39744883E-02,.21237566E-02,.87499619E-02,.87225199,325.40655
99999,402,.39449475E-02,.10204459E-02,.87609291E-02,.88101292,327.85515
100999,403,.39205245E-02,.14782475E-02,.86340904E-02,.88964701,330.24447
101999,404,.38955732E-02,.13755121E-02,.86309910E-02,.89827800,332.62078
102999,406,.38754368E-02,.18215483E-02,.86400509E-02,.90691805,334.16133
103999,406,.38473610E-02,.95557638E-03,.86119175E-02,.91552997,337.33446
104999,411,.38489753E-02,.40168679E-02,.87940693E-02,.92432404,336.42021
105999,415,.38467552E-02,.36136438E-02,.87389946E-02,.93306303,336.31863
106999,417,.38242295E-02,.14365231E-02,.88980198E-02,.94196105,337.89295
107999,418,.38020262E-02,.14262992E-02,.86650848E-02,.95062613,340.18315
108999,418,.37672665E-02,.13249813E-04,.86219311E-02,.95924807,343.26853
109999,424,.37736269E-02,.44669060E-02,.87368488E-02,.96798491,341.47951
110999,428,.37792298E-02,.43955414E-02,.86841583E-02,.97666907,341.31389
111999,439,.38446277E-02,.11103732E-01,.88369846E-02,.98550606,335.74777
112999,455,.39520622E-02,.15984622E-01,.89440346E-02,.99445009,326.84624
113999,469,.40370083E-02,.13635828E-01,.88698864E-02,1.0033200,319.88793
114999,473,.40364991E-02,.39784541E-02,.88989735E-02,1.0122190,319.98745
115999,475,.40192196E-02,.20320886E-02,.87151527E-02,1.0209341,321.37931
116999,476,.39878740E-02,.35182234E-03,.86789131E-02,1.0296130,323.42827
117999,477,.39734668E-02,.22878334E-02,.86250305E-02,1.0382380,325.45171
118999,478,.39505793E-02,.12498822E-02,.86259842E-02,1.0468640,327.46695
119999,478,.39177303E-02,.87354650E-05,.86100101E-02,1.0554740,330.16023
120999,478,.38855762E-02,.27111196E-04,.86438656E-02,1.0641179,332.86410
121999,478,.38537521E-02,.30690007E-05,.89240074E-02,1.0730419,335.65559
122999,479,.38305534E-02,.10003285E-02,.91030598E-02,1.0821450,337.79415
123999,479,.37998051E-02,.17805424E-04,.90579987E-02,1.0912030,340.62163
124999,479,.37699122E-02,.63213180E-04,.90150833E-02,1.1002181,343.43571
125999,480,.37423010E-02,.29093469E-03,.90739727E-02,1.1092920,345.54447
126999,480,.37132865E-02,.57486445E-04,.90219975E-02,1.1183140,348.35482
127999,480,.36853335E-02,.13533501E-03,.88970661E-02,1.1272111,351.12626
128999,480,.36568430E-02,.10086609E-04,.87900162E-02,1.1360011,353.86435
129999,480,.36290446E-02,.43074602E-04,.90408325E-02,1.1450419,356.68057
130999,480,.36013554E-02,.17821071E-05,.88040829E-02,1.1538460,359.42304
131999,480,.35746101E-02,.71008765E-04,.87499619E-02,1.1625960,362.14865
132999,480,.35482889E-02,.73913783E-04,.87800026E-02,1.1713760,364.88362
133999,481,.35298995E-02,.10841259E-02,.88570118E-02,1.1802330,366.87580
134999,482,.35131064E-02,.12628551E-02,.87740421E-02,1.1890070,368.83393
135999,484,.34964963E-02,.12541514E-02,.87859631E-02,1.1977930,370.01905
136999,485,.34813905E-02,.14270094E-02,.89280605E-02,1.2067211,372.00598
137999,485,.34569621E-02,.11029922E-03,.88269711E-02,1.2155480,374.72714
138999,485,.34325152E-02,.58871525E-04,.87409019E-02,1.2242889,377.42178
139999,486,.34153846E-02,.10342462E-02,.88531971E-02,1.2331421,379.36628
140999,488,.34072516E-02,.22686335E-02,.88307858E-02,1.2419729,380.51200
141999,491,.33998003E-02,.23491791E-02,.87680817E-02,1.2507410,380.84936
142999,493,.33901640E-02,.20218232E-02,.87521076E-02,1.2594931,381.95342
143999,493,.33693798E-02,.39724897E-03,.87189674E-02,1.2682121,384.59753
144999,494,.33533736E-02,.10485021E-02,.89569092E-02,1.2771690,386.52718
145999,494,.33304266E-02,.31362494E-05,.87430477E-02,1.2859120,389.17321
146999,495,.33152774E-02,.11035125E-02,.87358952E-02,1.2946479,391.02291
147999,495,.32931041E-02,.33650437E-04,.87192059E-02,1.3033671,393.65637
148999,495,.32720456E-02,.15540657E-03,.86867809E-02,1.3120539,396.28004
149999,495,.32504648E-02,.34948722E-04,.87029934E-02,1.3207569,398.90861
150999,495,.32291982E-02,.39224626E-04,.87060928E-02,1.3294630,401.53811
151999,495,.32081889E-02,.35813694E-04,.88219643E-02,1.3382850,404.20261
152999,495,.31877103E-02,.74970644E-04,.88579655E-02,1.3471429,406.87799
153999,495,.31671498E-02,.21425269E-04,.86901188E-02,1.3558331,409.50267
154999,497,.31626900E-02,.24758726E-02,.87289810E-02,1.3645620,410.47509
155999,497,.31438175E-02,.21860081E-03,.86870193E-02,1.3732491,413.08824
156999,497,.31240635E-02,.42470111E-04,.86970329E-02,1.3819461,415.70440
157999,498,.31107365E-02,.10184036E-02,.86989403E-02,1.3906450,417.47834
158999,498,.30971120E-02,.94446315E-03,.86760521E-02,1.3993211,420.08293
159999,499,.30786608E-02,.14493336E-03,.89230537E-02,1.4082441,421.91164
160999,502,.30787011E-02,.30851514E-02,.87699890E-02,1.4170141,421.99358
161999,502,.30647497E-02,.81857916E-03,.87368488E-02,1.4257510,424.59546
162999,503,.30522264E-02,.10234716E-02,.86870193E-02,1.4344380,426.33037
163999,503,.30363811E-02,.45361655E-03,.86569786E-02,1.4430950,428.90332
164999,504,.30193239E-02,.22196027E-03,.86851120E-02,1.4517801,430.62562
165999,506,.30141908E-02,.21672209E-02,.86998940E-02,1.4604800,431.48813
166999,512,.30252164E-02,.48554665E-02,.91149807E-02,1.4695950,429.07580
167999,513,.30112556E-02,.67981493E-03,.90169907E-02,1.4786119,430.86406
168999,513,.29939247E-02,.82349133E-04,.87320805E-02,1.4873440,433.40857
169999,513,.29768821E-02,.96701336E-04,.87480545E-02,1.4960921,435.95773
170999,515,.29636610E-02,.71607624E-03,.87909698E-02,1.5048831,436.81057
171999,515,.29467607E-02,.56841136E-04,.87389946E-02,1.5136220,439.34717
172999,517,.29471401E-02,.30123825E-02,.87699890E-02,1.5223920,440.17742
173999,519,.29381465E-02,.13822728E-02,.87630749E-02,1.5311551,440.99922
174999,521,.29339210E-02,.21986856E-02,.89168549E-02,1.5400720,441.85877
175999,522,.29245538E-02,.12853087E-02,.88381767E-02,1.5489101,443.54021
176999,523,.29139438E-02,.10465864E-02,.87308884E-02,1.5576410,445.18453
177999,523,.28983840E-02,.14432525E-03,.87330341E-02,1.5663741,447.68049
178999,523,.28822387E-02,.83801335E-05,.87258816E-02,1.5750999,450.17441
179999,523,.28662433E-02,.30948799E-05,.92520714E-02,1.5843520,452.81871
180999,523,.28504855E-02,.14091572E-04,.99349022E-02,1.5942869,455.65818
181999,523,.28350310E-02,.37784096E-04,.10193110E-01,1.6044800,458.57144
182999,523,.28196390E-02,.18304988E-04,.94060898E-02,1.6138861,461.25976
183999,523,.28057432E-02,.26282641E-03,.88939667E-02,1.6227801,463.80172
184999,523,.27905832E-02,.11620397E-05,.10292053E-01,1.6330721,466.74326
185999,524,.27811147E-02,.10294445E-02,.86917877E-02,1.6417639,468.32883
186999,526,.27735971E-02,.13753347E-02,.87010860E-02,1.6504650,469.01446
187999,526,.27590341E-02,.35766352E-04,.86319447E-02,1.6590970,471.46741
188999,527,.27501196E-02,.10742098E-02,.86419582E-02,1.6677389,473.02076
189999,527,.27366220E-02,.18557335E-03,.89812279E-02,1.6767201,475.56810
190999,527,.27230168E-02,.13805389E-03,.86808205E-02,1.6854010,478.03024
191999,528,.27123468E-02,.67438997E-03,.90529919E-02,1.6944540,479.68451
192999,529,.27069620E-02,.16730784E-02,.86350441E-02,1.7030890,481.21440
193999,530,.26977633E-02,.92243151E-03,.86250305E-02,1.7117140,482.73565
194999,532,.26931423E-02,.17966693E-02,.86500645E-02,1.7203641,483.34470
195999,535,.26942928E-02,.29186429E-02,.86510181E-02,1.7290151,483.04158
196999,537,.26918535E-02,.22137515E-02,.87099075E-02,1.7377250,483.66033
197999,537,.26805494E-02,.45365222E-03,.87790489E-02,1.7465041,486.10379
198999,539,.26763349E-02,.18418689E-02,.86798668E-02,1.7551839,486.70046
199999,539,.26701100E-02,.14313511E-02,.86071491E-02,1.7637911,489.08716
200999,541,.26663450E-02,.19133526E-02,.86929798E-02,1.7724841,489.67411
201999,544,.26651560E-02,.24261748E-02,.86438656E-02,1.7811279,489.33871
202999,546,.26623862E-02,.21028944E-02,.87010860E-02,1.7898290,489.92144
203999,547,.26544210E-02,.10374747E-02,.86929798E-02,1.7985220,491.39764
204999,547,.26422055E-02,.15027075E-03,.88441372E-02,1.8073661,493.81406
205999,548,.26349674E-02,.11511603E-02,.87738037E-02,1.8161399,495.30246
206999,552,.26418721E-02,.40642321E-02,.87330341E-02,1.8248730,494.06452
207999,553,.26321294E-02,.61539478E-03,.86750984E-02,1.8335481,495.51222
208999,555,.26275113E-02,.16669557E-02,.88889599E-02,1.8424370,496.11352
209999,557,.26303247E-02,.32183237E-02,.88059902E-02,1.8512430,496.68817
210999,557,.26202125E-02,.49667006E-03,.86290836E-02,1.8598721,499.00335
211999,558,.26130720E-02,.11064191E-02,.86798668E-02,1.8685520,500.43036
212999,558,.26015831E-02,.16594801E-03,.88679790E-02,1.8774199,502.80536
213999,558,.25907718E-02,.28798599E-03,.86870193E-02,1.8861070,505.13190
214999,560,.25887884E-02,.21643456E-02,.87180138E-02,1.8948250,505.64758
215999,560,.25810887E-02,.92565756E-03,.85949898E-02,1.9034200,507.94122
216999,560,.25741232E-02,.10695848E-02,.86319447E-02,1.9120519,510.24471
217999,560,.25625960E-02,.61194929E-04,.86560249E-02,1.9207079,512.55463
218999,561,.25569337E-02,.13225585E-02,.86910725E-02,1.9293990,513.95269
219999,563,.25535072E-02,.18031015E-02,.87769032E-02,1.9381759,514.44972
220999,563,.25429259E-02,.21504804E-03,.87292194E-02,1.9469051,516.76672
221999,565,.25427634E-02,.25068571E-02,.87349415E-02,1.9556401,517.24084
222999,569,.25451154E-02,.30672546E-02,.89328289E-02,1.9645729,515.93690
223999,571,.25441518E-02,.23292759E-02,.86901188E-02,1.9732630,516.39706
224999,575,.25436289E-02,.24265081E-02,.87170601E-02,1.9819801,515.05630
225999,581,.25576389E-02,.57098695E-02,.89309216E-02,1.9909110,512.01365
226999,583,.25547118E-02,.18931839E-02,.88410378E-02,1.9997520,512.51621
227999,585,.25502502E-02,.15374748E-02,.87370872E-02,2.0084891,512.98872
228999,587,.25453171E-02,.14205784E-02,.86948872E-02,2.0171840,513.44722
229999,590,.25476661E-02,.30855780E-02,.87409019E-02,2.0259249,513.03973
230999,590,.25373405E-02,.16247710E-03,.89111328E-02,2.0348361,515.29636
231999,591,.25338575E-02,.17292708E-02,.86848736E-02,2.0435209,516.61661
232999,592,.25283189E-02,.12433823E-02,.86631775E-02,2.0521841,517.92690
233999,594,.25239138E-02,.14975138E-02,.87130070E-02,2.0608971,518.36767
234999,596,.25221223E-02,.21029261E-02,.86009502E-02,2.0694981,518.77733
235999,600,.25232397E-02,.27858213E-02,.86739063E-02,2.0781720,517.46482
236999,601,.25148710E-02,.53986312E-03,.87561607E-02,2.0869281,518.77700
