NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
78999,415,.53374210E-02,.20545394E-02,.89750290E-02,.70680690,169.60811
79999,416,.52838072E-02,.10483639E-02,.88181496E-02,.71562505,171.30963
80999,416,.52300187E-02,.92699429E-03,.87850094E-02,.72441006,173.41262
81999,416,.51671376E-02,.73834446E-04,.87728500E-02,.73318291,175.51271
82999,417,.51187904E-02,.11543686E-02,.87921619E-02,.74197507,177.18970
83999,417,.50584221E-02,.47909857E-04,.87788105E-02,.75075388,179.28615
84999,417,.50003567E-02,.12291993E-03,.87630749E-02,.75951695,181.37884
85999,419,.49665742E-02,.20950987E-02,.90570450E-02,.76857400,182.66197
86999,419,.49169324E-02,.64778668E-03,.87659359E-02,.77733994,184.74532
87999,421,.48810913E-02,.17629518E-02,.88009834E-02,.78614092,185.94567
88999,421,.48273825E-02,.10106205E-03,.87661743E-02,.79490709,188.01913
89999,423,.47929749E-02,.17307337E-02,.87969303E-02,.80370402,189.19725
90999,423,.47415769E-02,.11581149E-03,.87809563E-02,.81248498,191.26434
91999,425,.47052805E-02,.14023390E-02,.88169575E-02,.82130194,192.42621
92999,425,.46570202E-02,.21711896E-03,.88090897E-02,.83011103,194.49013
93999,427,.46295509E-02,.20749358E-02,.90298653E-02,.83914089,195.68097
94999,429,.45944454E-02,.12945655E-02,.88191032E-02,.84796000,196.81171
95999,430,.45576435E-02,.10615020E-02,.88040829E-02,.85676408,198.39070
96999,432,.45147305E-02,.39511971E-03,.88188648E-02,.86558294,199.50084
97999,432,.44687005E-02,.38348015E-05,.87709427E-02,.87435389,201.52238
98999,432,.44248837E-02,.13088409E-03,.87800026E-02,.88313389,203.54601
99999,433,.43935011E-02,.12866521E-02,.88031292E-02,.89193702,205.09814
100999,433,.43500895E-02,.89811380E-05,.25990963E-01,.91792798,211.07468
101999,433,.43087010E-02,.12849904E-03,.89530945E-02,.92688107,213.13341
102999,434,.42785799E-02,.12062589E-02,.89077950E-02,.93578887,214.68377
103999,434,.42410244E-02,.37284640E-03,.91052055E-02,.94489408,216.77263
104999,434,.42010885E-02,.47795888E-04,.90780258E-02,.95397210,218.85527
105999,434,.41684678E-02,.74332796E-03,.91288090E-02,.96310091,220.94955
106999,434,.41300042E-02,.52893535E-04,.91061592E-02,.97220707,223.03864
107999,434,.40957837E-02,.43422560E-03,.91309547E-02,.98133802,225.13341
108999,434,.40595349E-02,.14470843E-03,.89368820E-02,.99027491,227.18367
109999,435,.40318174E-02,.10106389E-02,.90081692E-02,.99928308,228.72096
110999,436,.40048759E-02,.10413319E-02,.88529587E-02,1.0081360,230.21572
111999,436,.39705054E-02,.15541045E-03,.89449883E-02,1.0170810,232.25838
112999,437,.39450664E-02,.10959241E-02,.91450214E-02,1.0262260,233.80811
113999,437,.39107698E-02,.35291383E-04,.92468262E-02,1.0354729,235.91484
114999,438,.38860597E-02,.10691383E-02,.91910362E-02,1.0446639,237.46308
115999,439,.38535056E-02,.10981689E-03,.10132074E-01,1.0547960,239.21764
116999,440,.38322690E-02,.13688377E-02,.10705948E-01,1.0655019,241.09403
117999,440,.38001730E-02,.44970058E-04,.10595083E-01,1.0760970,243.49141
118999,441,.37767479E-02,.10126139E-02,.99229813E-02,1.0860200,245.17702
119999,441,.37453340E-02,.71142178E-05,.91118813E-02,1.0951319,247.23409
120999,441,.37145048E-02,.15029114E-04,.98960400E-02,1.1050279,249.46820
121999,441,.36844881E-02,.52502275E-04,.94439983E-02,1.1144719,251.60025
122999,441,.36562967E-02,.21696534E-03,.93660355E-02,1.1238379,253.71470
123999,441,.36268526E-02,.52604034E-05,.92339516E-02,1.1330719,255.79933
124999,441,.35978488E-02,.14134070E-05,.89051723E-02,1.1419771,257.80974
125999,441,.35693354E-02,.51818178E-05,.91469288E-02,1.1511240,259.87473
126999,441,.35412866E-02,.71731366E-05,.92740059E-02,1.1603980,261.96840
127999,441,.35137378E-02,.15056567E-04,.92530251E-02,1.1696510,264.05734
128999,441,.34865101E-02,.14002337E-05,.91509819E-02,1.1788020,266.12324
129999,441,.34597097E-02,.24791046E-05,.26335955E-01,1.2051380,272.06878
130999,441,.34333006E-02,.14143341E-06,.92439651E-02,1.2143819,274.15567
131999,441,.34073434E-02,.69792851E-05,.44553041E-01,1.2589350,284.21385
132999,441,.33817327E-02,.11467424E-05,.89139938E-02,1.2678490,286.22625
133999,441,.33569865E-02,.65761923E-04,.90010166E-02,1.2768500,288.25829
134999,441,.33321364E-02,.22498677E-05,.89299679E-02,1.2857800,290.27430
135999,441,.33094794E-02,.25081764E-03,.90570450E-02,1.2948370,292.31899
136999,441,.32854000E-02,.10614212E-04,.89039803E-02,1.3037410,294.32913
137999,441,.32616857E-02,.12855115E-04,.88009834E-02,1.3125420,296.31602
138999,441,.32386199E-02,.55559969E-04,.87621212E-02,1.3213041,298.29413
139999,441,.32155190E-02,.45151922E-05,.87568760E-02,1.3300610,300.27106
140999,441,.31928010E-02,.12304579E-04,.87590218E-02,1.3388200,302.24848
141999,441,.31703698E-02,.75991832E-05,.87759495E-02,1.3475959,304.22971
142999,441,.31488316E-02,.90429265E-04,.87871552E-02,1.3563831,306.21348
143999,441,.31270346E-02,.10085979E-04,.90439320E-02,1.3654270,308.25521
144999,441,.31054756E-02,.99528325E-06,.89769363E-02,1.3744040,310.28182
145999,441,.30842188E-02,.20055134E-05,.88059902E-02,1.3832099,312.26984
146999,441,.30635778E-02,.50018244E-04,.87931156E-02,1.3920031,314.25495
147999,441,.30428807E-02,.42750887E-06,.87819099E-02,1.4007850,316.23753
148999,441,.30244643E-02,.29884746E-03,.89969635E-02,1.4097819,318.26866
149999,441,.30043298E-02,.43086765E-05,.88210106E-02,1.4186029,320.26007
150999,441,.29858710E-02,.21707689E-03,.89409351E-02,1.4275439,322.27855
151999,441,.29662366E-02,.14536289E-05,.89290142E-02,1.4364729,324.29434
152999,441,.29468785E-02,.44740611E-05,.87840557E-02,1.4452569,326.27741
153999,442,.29335054E-02,.88744010E-03,.88200569E-02,1.4540770,327.52262
154999,442,.29147839E-02,.31679831E-04,.26855946E-01,1.4809330,333.57177
155999,442,.28964083E-02,.48208614E-04,.88119507E-02,1.4897449,335.55661
156999,442,.28809468E-02,.46897404E-03,.90751648E-02,1.4988201,337.60074
157999,442,.28638946E-02,.18671183E-03,.90179443E-02,1.5078380,339.63198
158999,442,.28459121E-02,.46982860E-05,.87940693E-02,1.5166321,341.61280
159999,442,.28282392E-02,.18272002E-04,.87749958E-02,1.5254071,343.58932
160999,442,.28109291E-02,.41320612E-04,.89368820E-02,1.5343440,345.60230
161999,442,.27936256E-02,.77839356E-05,.90789795E-02,1.5434229,347.64729
162999,442,.27765947E-02,.17600608E-04,.93181133E-02,1.5527411,349.74614
163999,442,.27597643E-02,.16438012E-04,.89490414E-02,1.5616901,351.76186
164999,442,.27430516E-02,.21818601E-05,.90939999E-02,1.5707841,353.81023
165999,442,.27266237E-02,.16025139E-04,.26692867E-01,1.5974770,359.82265
166999,442,.27108974E-02,.10035051E-03,.88260174E-02,1.6063030,361.81066
167999,442,.26949560E-02,.32758053E-04,.89190006E-02,1.6152220,363.81961
168999,442,.26790105E-02,.18002380E-06,.89330673E-02,1.6241550,365.83174
169999,442,.26633152E-02,.10834827E-04,.88839531E-02,1.6330390,367.83280
170999,442,.26477449E-02,.81198499E-06,.90029240E-02,1.6420419,369.86066
171999,442,.26323671E-02,.27651880E-05,.88970661E-02,1.6509390,371.86467
172999,442,.26174670E-02,.54667749E-04,.90351105E-02,1.6599741,373.89978
173999,442,.26024505E-02,.46206277E-05,.89578629E-02,1.6689320,375.91748
174999,442,.25876672E-02,.15374623E-04,.89840889E-02,1.6779160,377.94110
175999,442,.25729819E-02,.30777827E-05,.88198185E-02,1.6867359,379.92771
176999,442,.25585407E-02,.16902875E-04,.88090897E-02,1.6955450,381.91191
177999,442,.25444414E-02,.48878660E-04,.87819099E-02,1.7043269,383.88999
178999,444,.25362401E-02,.10764185E-02,.88791847E-02,1.7132061,384.14401
179999,444,.25221875E-02,.67932275E-05,.88210106E-02,1.7220271,386.12191
180999,444,.25082693E-02,.29987676E-05,.88148117E-02,1.7308419,388.09841
181999,444,.24946740E-02,.33945438E-04,.89771748E-02,1.7398190,390.11132
182999,445,.24846501E-02,.66030856E-03,.88398457E-02,1.7486589,391.20840
183999,445,.24712092E-02,.11534289E-04,.88210106E-02,1.7574799,393.18182
184999,445,.24578598E-02,.15853569E-05,.87871552E-02,1.7662671,395.14768
185999,445,.24446943E-02,.90812299E-05,.87749958E-02,1.7750421,397.11081
186999,447,.24413262E-02,.18148768E-02,.88360310E-02,1.7838781,397.29399
187999,448,.24313888E-02,.57309409E-03,.88248253E-02,1.7927029,398.36420
188999,450,.24265183E-02,.15108733E-02,.89371204E-02,1.8016400,398.56281
189999,451,.24207414E-02,.13289163E-02,.90110302E-02,1.8106511,399.66409
190999,452,.24146928E-02,.12654654E-02,.88098049E-02,1.8194609,400.71613
191999,452,.24059441E-02,.73495417E-03,.88381767E-02,1.8282990,402.66264
192999,458,.24168732E-02,.45152414E-02,.89700222E-02,1.8372691,399.31318
193999,462,.24292266E-02,.48134199E-02,.88799000E-02,1.8461490,397.75319
194999,465,.24386716E-02,.42709931E-02,.88450909E-02,1.8549941,397.06846
195999,468,.24490190E-02,.44667436E-02,.89249611E-02,1.8639190,396.40938
196999,470,.24494599E-02,.25358850E-02,.92599392E-02,1.8731790,396.67554
197999,470,.24407117E-02,.71731935E-03,.91691017E-02,1.8823481,398.61724
198999,470,.24313752E-02,.58276715E-03,.92499256E-02,1.8915980,400.57606
199999,473,.24324178E-02,.26398833E-02,.90639591E-02,1.9006619,399.93062
200999,475,.24287524E-02,.16956803E-02,.89359283E-02,1.9095979,400.11101
201999,479,.24289038E-02,.24593445E-02,.90301037E-02,1.9186280,398.63001
202999,480,.24274610E-02,.21360076E-02,.88880062E-02,1.9275160,399.63831
203999,485,.24387358E-02,.47275047E-02,.91519356E-02,1.9366679,397.37631
204999,487,.24326965E-02,.12006938E-02,.90291500E-02,1.9456971,397.58142
205999,489,.24321686E-02,.23239375E-02,.89828968E-02,1.9546800,397.77537
