NumFuncCallTotal,NumFuncCallAccepted,MeanAcceptanceRateSinceStart,MeanAcceptanceRateSinceLastReport,TimeElapsedSinceLastReportInSeconds,TimeElapsedSinceStartInSeconds,TimeRemainedToFinishInSeconds
78999,379,.47588340E-02,.10988595E-03,.88281631E-02,.71982217,189.20687
79999,379,.47011949E-02,.14775814E-03,.89130402E-02,.72873521,191.54968
80999,379,.46431654E-02,.86700747E-06,.90489388E-02,.73778415,193.92822
81999,379,.45873959E-02,.70122897E-04,.88858604E-02,.74667001,196.26389
82999,379,.45321478E-02,.18614235E-05,.89061260E-02,.75557613,198.60488
83999,379,.44781985E-02,.45537495E-06,.89590549E-02,.76453519,200.95979
84999,379,.44255156E-02,.20577538E-06,.88369846E-02,.77337217,203.28261
85999,379,.43740749E-02,.16672669E-05,.88708401E-02,.78224301,205.61433
86999,379,.43242767E-02,.41678872E-04,.89399815E-02,.79118299,207.96422
87999,379,.42752225E-02,.75621127E-05,.90460777E-02,.80022907,210.34201
88999,379,.42271991E-02,.11831351E-05,.88751316E-02,.80910420,212.67485
89999,379,.41802475E-02,.16019107E-05,.88248253E-02,.81792903,214.99448
90999,379,.41359930E-02,.15313194E-03,.88491440E-02,.82677817,217.32050
91999,379,.40965459E-02,.50690518E-03,.89468956E-02,.83572507,219.67221
92999,379,.40525610E-02,.59889878E-05,.90861320E-02,.84481120,222.06052
93999,380,.40214129E-02,.11246711E-02,.92318058E-02,.85404301,223.89412
94999,380,.39790824E-02,.55199694E-07,.90661049E-02,.86310911,226.27087
95999,381,.39418466E-02,.40448631E-03,.88970661E-02,.87200618,228.00101
96999,381,.39012890E-02,.77965480E-05,.88179111E-02,.88082409,230.30660
97999,381,.38616271E-02,.14468159E-04,.88090897E-02,.88963318,232.60989
98999,381,.38229338E-02,.31026540E-04,.89228153E-02,.89855599,234.94291
99999,381,.37847771E-02,.72993188E-05,.88582039E-02,.90741420,237.25904
100999,381,.37474740E-02,.17201276E-04,.88508129E-02,.91626501,239.57324
101999,381,.37107451E-02,.11610975E-05,.90661049E-02,.92533112,241.94373
102999,383,.36931383E-02,.18972667E-02,.11061907E-01,.93639302,243.55265
103999,384,.36711517E-02,.14065500E-02,.98860264E-02,.94627905,245.48056
104999,384,.36363177E-02,.13620809E-04,.92279911E-02,.95550704,247.87445
105999,384,.36031981E-02,.12567660E-03,.94339848E-02,.96494102,250.32178
106999,384,.35696167E-02,.10018010E-04,.92141628E-02,.97415519,252.71209
107999,385,.35416877E-02,.55331099E-03,.94168186E-02,.98357201,254.48968
108999,385,.35092318E-02,.40333961E-05,.91640949E-02,.99273610,256.86080
109999,385,.34775058E-02,.19396495E-04,.92151165E-02,1.0019512,259.24512
110999,386,.34552141E-02,.10031472E-02,.93050003E-02,1.0112562,260.97222
111999,386,.34247904E-02,.47799058E-04,.89178085E-02,1.0201740,263.27362
112999,386,.33945093E-02,.30511257E-05,.89750290E-02,1.0291491,265.58978
113999,386,.33649101E-02,.20226029E-04,.89139938E-02,1.0380630,267.89019
114999,386,.33369636E-02,.15109895E-03,.88529587E-02,1.0469160,270.17485
115999,386,.33085682E-02,.43127120E-04,.88431835E-02,1.0557592,272.45698
116999,386,.32804338E-02,.16862625E-04,.90568066E-02,1.0648160,274.79425
117999,386,.32526783E-02,.53172646E-05,.88450909E-02,1.0736611,277.07688
118999,386,.32254024E-02,.68680042E-05,.88529587E-02,1.0825140,279.36154
119999,386,.31985441E-02,.24434907E-05,.88281631E-02,1.0913422,281.63980
120999,386,.31723330E-02,.27022117E-04,.89659691E-02,1.1003082,283.95362
121999,386,.31477072E-02,.16800610E-03,.88229179E-02,1.1091311,286.23053
122999,386,.31223049E-02,.23258978E-04,.88279247E-02,1.1179590,288.50873
123999,388,.31134079E-02,.20190784E-02,.92921257E-02,1.1272511,289.40140
124999,391,.31157944E-02,.34117185E-02,.89700222E-02,1.1362212,289.45743
125999,396,.31307544E-02,.50007412E-02,.89418888E-02,1.1451631,288.03743
126999,404,.31656899E-02,.75675280E-02,.91841221E-02,1.1543472,284.57515
127999,406,.31600528E-02,.24441498E-02,.91249943E-02,1.1634722,285.40603
128999,409,.31678187E-02,.41618443E-02,.90968609E-02,1.1725690,285.51913
129999,412,.31637044E-02,.26329670E-02,.89759827E-02,1.1815450,285.60123
130999,414,.31567125E-02,.22477619E-02,.88851452E-02,1.1904302,286.35309
131999,416,.31413759E-02,.11322989E-02,.90270042E-02,1.1994572,287.13159
132999,418,.31331037E-02,.20411907E-02,.89018345E-02,1.2083590,287.87274
133999,419,.31161528E-02,.86169760E-03,.88930130E-02,1.2172520,289.29636
134999,419,.30965471E-02,.46940639E-03,.88691711E-02,1.2261212,291.40423
135999,419,.30753864E-02,.21870659E-03,.90060234E-02,1.2351272,293.54464
136999,419,.30534805E-02,.74296406E-04,.89178085E-02,1.2440450,295.66407
137999,419,.30316790E-02,.44892954E-04,.88801384E-02,1.2529252,297.77456
138999,419,.30100853E-02,.30178759E-04,.89600086E-02,1.2618852,299.90403
139999,420,.29916837E-02,.43388478E-03,.89468956E-02,1.2708321,301.30823
140999,421,.29786953E-02,.11603244E-02,.88860989E-02,1.2797182,302.69134
141999,422,.29654048E-02,.10914633E-02,.88820457E-02,1.2886002,304.06690
142999,426,.29696352E-02,.35703533E-02,.90599060E-02,1.2976601,303.31739
143999,427,.29567991E-02,.11212477E-02,.89631081E-02,1.3066232,304.69413
144999,427,.29382036E-02,.26046224E-03,.88877678E-02,1.3155110,306.76669
145999,427,.29181213E-02,.62089746E-05,.88791847E-02,1.3243902,308.83724
146999,428,.29063869E-02,.11931836E-02,.91860294E-02,1.3335762,310.24965
147999,432,.29067497E-02,.29600822E-02,.94180107E-02,1.3429942,309.53530
148999,433,.28946202E-02,.10994689E-02,.93688965E-02,1.3523631,310.97168
149999,435,.28862782E-02,.16433244E-02,.91960430E-02,1.3615592,311.64054
150999,440,.28935093E-02,.39781653E-02,.90670586E-02,1.3706262,310.13533
151999,441,.28818536E-02,.11218508E-02,.88789463E-02,1.3795052,311.43346
152999,442,.28708242E-02,.11943674E-02,.88729858E-02,1.3883781,312.72432
153999,447,.28809378E-02,.44283159E-02,.90429783E-02,1.3974211,311.22475
154999,453,.28956473E-02,.51608825E-02,.89409351E-02,1.4063621,309.04884
155999,466,.29698074E-02,.14464561E-01,.90861320E-02,1.4154482,302.32880
156999,473,.30027656E-02,.81442004E-02,.89509487E-02,1.4243991,299.71707
157999,483,.30384173E-02,.86356982E-02,.91428757E-02,1.4335420,295.36605
158999,492,.30723025E-02,.84261411E-02,.89781284E-02,1.4425201,291.75263
159999,498,.30900050E-02,.59046757E-02,.89290142E-02,1.4514492,290.00420
160999,506,.31154797E-02,.71914034E-02,.90129375E-02,1.4604621,287.16841
161999,513,.31346769E-02,.62254176E-02,.90720654E-02,1.4695342,284.98937
162999,518,.31430550E-02,.45002897E-02,.89230537E-02,1.4784572,283.93799
163999,524,.31568128E-02,.53993325E-02,.89387894E-02,1.4873960,282.36680
164999,530,.31709485E-02,.54891875E-02,.90332031E-02,1.4964292,280.84870
165999,536,.31869887E-02,.58336096E-02,.89309216E-02,1.5053601,279.34541
166999,539,.31902176E-02,.37262033E-02,.88629723E-02,1.5142231,279.41771
167999,543,.31949079E-02,.39781755E-02,.88789463E-02,1.5231020,278.97451
168999,548,.32069469E-02,.52294980E-02,.90391636E-02,1.5321412,278.05567
169999,551,.32008224E-02,.21657811E-02,.88880062E-02,1.5410292,278.13759
170999,556,.32159196E-02,.57824343E-02,.90317726E-02,1.5500610,277.23789
171999,557,.32051913E-02,.13706664E-02,.12619019E-01,1.5626800,278.99028
172999,557,.31886259E-02,.33938950E-03,.88791847E-02,1.5715592,280.57551
173999,557,.31704076E-02,.18654794E-04,.88369846E-02,1.5803962,282.15321
174999,560,.31725184E-02,.35397920E-02,.88829994E-02,1.5892792,282.21057
175999,562,.31731315E-02,.32804390E-02,.89919567E-02,1.5982711,282.79161
176999,562,.31567861E-02,.28000119E-03,.88539124E-02,1.6071250,284.35819
177999,562,.31391277E-02,.13612093E-04,.88541508E-02,1.6159792,285.92480
178999,564,.31288007E-02,.12906076E-02,.88639259E-02,1.6248431,286.46791
179999,564,.31149390E-02,.63371095E-03,.89619160E-02,1.6338050,288.04794
180999,566,.31103521E-02,.22847047E-02,.89011192E-02,1.6427062,288.58806
181999,567,.30955904E-02,.42374753E-03,.88160038E-02,1.6515222,289.62223
182999,568,.30805123E-02,.33630607E-03,.88729858E-02,1.6603951,290.66269
183999,573,.30861784E-02,.41230788E-02,.90880394E-02,1.6694832,289.68884
184999,577,.30935424E-02,.44485050E-02,.89390278E-02,1.6784222,289.20931
185999,577,.30781375E-02,.22824049E-03,.88489056E-02,1.6872711,290.73407
186999,579,.30732274E-02,.21599640E-02,.89869499E-02,1.6962581,291.26714
187999,579,.30582930E-02,.26557371E-03,.88729858E-02,1.7051311,292.79073
188999,583,.30740757E-02,.60411957E-02,.88551044E-02,1.7139862,292.28021
189999,587,.30758005E-02,.34018014E-02,.89268684E-02,1.7229130,291.78868
190999,589,.30709322E-02,.21459525E-02,.89759827E-02,1.7318890,292.30699
191999,592,.30736268E-02,.35882842E-02,.88891983E-02,1.7407782,292.30959
192999,598,.30889247E-02,.60261193E-02,.89368820E-02,1.7497151,290.84478
193999,604,.31010507E-02,.54413506E-02,.89199543E-02,1.7586350,289.40611
194999,609,.31089251E-02,.46365535E-02,.90320110E-02,1.7676671,288.48965
195999,616,.31326297E-02,.77549945E-02,.89449883E-02,1.7766120,286.63443
196999,626,.31753753E-02,.11553482E-01,.89960098E-02,1.7856081,283.45530
197999,626,.31594386E-02,.19925310E-04,.89440346E-02,1.7945521,284.87511
198999,627,.31466429E-02,.61310244E-03,.89471340E-02,1.8034992,285.83593
199999,627,.31310309E-02,.24252476E-04,.88069439E-02,1.8123062,287.23174
200999,627,.31154972E-02,.87695456E-05,.88739395E-02,1.8211801,288.63817
201999,627,.31036799E-02,.72842262E-03,.90229511E-02,1.8302031,290.06821
202999,627,.30884925E-02,.20644700E-04,.89440346E-02,1.8391471,291.48575
203999,628,.30783873E-02,.10270490E-02,.88949203E-02,1.8480420,292.42616
204999,628,.30635401E-02,.34726219E-04,.88720322E-02,1.8569140,293.83004
205999,628,.30491078E-02,.90491835E-04,.89890957E-02,1.8659031,295.25243
206999,628,.30345180E-02,.29038697E-04,.88839531E-02,1.8747871,296.65819
207999,631,.30301869E-02,.21336499E-02,.89221001E-02,1.8837092,296.64390
208999,632,.30206688E-02,.10409147E-02,.89979172E-02,1.8927071,297.58627
209999,632,.30069720E-02,.14435378E-03,.95639229E-02,1.9022710,299.08998
210999,632,.29927739E-02,.11197004E-04,.92351437E-02,1.9115062,300.54200
211999,632,.29789717E-02,.66725128E-04,.89409351E-02,1.9204471,301.94777
212999,632,.29657325E-02,.15902989E-03,.90110302E-02,1.9294581,303.36455
213999,632,.29527396E-02,.18527257E-03,.89628696E-02,1.9384210,304.77376
214999,632,.29395611E-02,.11937327E-03,.88942051E-02,1.9473152,306.17218
215999,632,.29268293E-02,.18949426E-03,.88679790E-02,1.9561832,307.56647
216999,632,.29137369E-02,.85789446E-04,.89838505E-02,1.9651670,308.97899
217999,633,.29005505E-02,.39119759E-04,.88810921E-02,1.9740481,309.88190
218999,637,.29041551E-02,.36899474E-02,.89218616E-02,1.9829700,309.31530
219999,639,.28984830E-02,.16562961E-02,.88632107E-02,1.9918332,309.71915
220999,640,.28900827E-02,.10420260E-02,.90057850E-02,2.0008390,310.63025
221999,641,.28832137E-02,.13651865E-02,.88682175E-02,2.0097072,311.51716
222999,642,.28752645E-02,.11105451E-02,.88758469E-02,2.0185831,312.40245
223999,645,.28720834E-02,.21626910E-02,.89311600E-02,2.0275142,312.31578
224999,648,.28706837E-02,.25571637E-02,.90548992E-02,2.0365691,312.24879
225999,649,.28629023E-02,.11120837E-02,.88989735E-02,2.0454681,313.12681
226999,650,.28540371E-02,.85051496E-03,.88300705E-02,2.0542982,313.99157
227999,654,.28530451E-02,.26278672E-02,.90298653E-02,2.0633280,313.43025
228999,657,.28503659E-02,.22395063E-02,.92031956E-02,2.0725312,313.38123
229999,659,.28470088E-02,.20782501E-02,.88679790E-02,2.0813992,313.76066
230999,662,.28461235E-02,.26425013E-02,.88498592E-02,2.0902491,313.65734
231999,663,.28391617E-02,.12309949E-02,.89690685E-02,2.0992181,314.52493
232999,663,.28269873E-02,.25221793E-05,.88629723E-02,2.1080811,315.85287
233999,663,.28150352E-02,.30214087E-04,.87790489E-02,2.1168602,317.16823
234999,664,.28061041E-02,.71623571E-03,.87978840E-02,2.1256580,318.00356
235999,664,.27946944E-02,.11343378E-03,.89020729E-02,2.1345601,319.33534
236999,664,.27831415E-02,.56654268E-04,.88241100E-02,2.1433842,320.65544
237999,664,.27714882E-02,.96779337E-05,.87819099E-02,2.1521661,321.96924
238999,664,.27600319E-02,.33451305E-04,.88090897E-02,2.1609752,323.28710
239999,664,.27485652E-02,.80270454E-05,.88939667E-02,2.1698692,324.61766
240999,664,.27373422E-02,.43840563E-04,.89099407E-02,2.1787791,325.95061
241999,665,.27307132E-02,.11331138E-02,.88570118E-02,2.1876361,326.78020
242999,665,.27205535E-02,.26193027E-03,.89070797E-02,2.1965432,328.11071
243999,665,.27097143E-02,.75807048E-04,.88889599E-02,2.2054322,329.43850
244999,665,.26989709E-02,.77582765E-04,.88129044E-02,2.2142451,330.75494
245999,665,.26881053E-02,.26039259E-04,.88820457E-02,2.2231271,332.08170
246999,665,.26777558E-02,.13180422E-03,.89590549E-02,2.2320862,333.41997
247999,665,.26672380E-02,.69338815E-04,.88539124E-02,2.2409401,334.74253
248999,665,.26566567E-02,.32501970E-04,.88031292E-02,2.2497432,336.05751
249999,665,.26486592E-02,.65728958E-03,.88548660E-02,2.2585981,337.38021
250999,666,.26387958E-02,.17295333E-03,.90720654E-02,2.2676702,338.22334
251999,670,.26414763E-02,.33142819E-02,.88839531E-02,2.2765541,337.50764
252999,675,.26450130E-02,.35362646E-02,.88629723E-02,2.2854171,336.29489
