0.25	8.949665
0.75	8.526846
1.25	8.926175
1.75	10.75839
2.25	12.16779
2.75	11.51007
3.25	12.21477
3.75	10.9698
4.25	10.7349
4.75	8.949665
5.25	9.348993
5.75	8.385906
6.25	9.983222
6.75	9.348993
7.25	8.338926
7.75	7.258389
8.25	6.95302
8.75	6.97651
9.25	8.385906
9.75	6.459732
10.25	6.389262
10.75	5.848993
11.25	5.238255
11.75	5.167785
12.25	5.543624
12.75	5.731544
13.25	4.956376
13.75	4.744967
14.25	4.322148
14.75	3.42953
15.25	4.298658
15.75	3.805369
16.25	3.218121
16.75	3.218121
17.25	3.194631
17.75	3.006711
18.25	2.795302
18.75	3.124161
19.25	3.875839
19.75	3.899329
20.25	4.721477
20.75	4.322148
21.25	5.379195
21.75	6.224833
22.25	7.563758
22.75	7.963088
23.25	8.926175
23.75	9.701343
24.25	11.62752
