Cost k_stress k_i V_S3 K_m1 K_P2 V_S4 K_m2 K_P3 V_S5 K_m3 K_d1 K_d2 K_d3 n1 n2 K_b G_tot V_S2 K1 K_d5
1.282446760989714960e+02 1.743340564360118350e+01 1.618362619085896403e+00 3.788109192062213193e+00 1.604687944845676117e+00 7.015545619517376430e+00 1.485563391007530987e+00 1.397807303696415870e-01 1.091310655497838900e+00 5.228800883398791212e-03 5.331984291961095607e-02 4.284502498235414659e-03 1.000000000000000021e-02 3.756980832010891058e-01 4.430117007108560934e+00 5.306361135258823580e+00 4.917718875931131189e-02 2.780453801230287070e+00 6.844657784099252018e-02 3.596936436290892880e-01 8.999999999999999667e-02
1.283542436004559022e+02 6.788187500241053662e+00 1.758919232672823130e+00 3.000000000000000000e+00 2.000000000000000000e+00 9.626415841360786985e+00 1.500000000000000000e+00 8.000000000000000167e-02 8.431933268648058588e-01 7.949841854553321360e-03 7.432897465777603407e-02 2.055598889139113091e-03 1.000000000000000021e-02 3.642870250592775694e-01 4.955008387450446250e+00 5.849924575075572619e+00 4.152630505385542653e-02 2.910227448830798647e+00 4.142796605197970189e-02 2.863062659952103628e-01 8.926189106708279364e-02
2.132940515864395934e+02 1.910688514921229952e+01 1.067589954459148283e+00 3.531916593387506964e+00 1.112337337101725110e+00 7.863457678698234865e+00 5.178686808323202939e-01 9.164077051175907318e-01 1.183803963280466220e+00 8.000000000000000167e-03 5.545150553389661258e-02 2.966503310081414647e-03 8.226162774798283228e-03 1.002147215307222228e-01 5.341335873318515226e+00 5.799507333194760861e+00 9.549889987642591616e-03 3.546407572628516913e+00 1.000000000000000021e-02 3.433890173589513872e-01 8.999999999999999667e-02
1.320707734606837107e+02 8.151674119558363074e+00 1.689246890743978602e+00 3.753334008127390931e+00 1.795355657567630381e+00 9.017492943859799936e+00 1.500000000000000000e+00 4.301534853390123758e-01 8.430575368895992794e-01 4.633443590352371265e-03 3.910151641727940136e-02 4.939736992362573319e-03 9.634078624376799307e-03 3.733906634627033316e-01 5.531875758025737611e+00 5.059664695982122318e+00 2.514026286075660144e-02 3.339259680766054394e+00 2.042336379435973071e-02 5.402348465616390039e-01 8.944678536242553490e-02
1.273068357087962710e+02 1.190278224093332149e+01 1.535840687910620339e+00 3.268242267854410521e+00 1.999999364931531742e+00 9.783928820676344174e+00 1.367739392370862284e+00 8.000000000000000167e-02 1.199999739065503057e+00 7.663583146348585014e-03 3.394346972635627763e-02 2.000000000000000042e-03 1.000000000000000021e-02 3.645998772772202634e-01 4.203621764311832543e+00 5.124808781900858534e+00 4.071057772254633306e-02 2.775844560010299666e+00 6.903358462686978725e-02 4.006685051294284206e-01 8.999999999999999667e-02
2.110705468902680479e+02 1.528351655914576845e+01 1.015493372341899958e+00 3.175397414953945230e+00 1.000000000000000000e+00 8.586620101366147395e+00 8.199256427133625458e-01 1.999738632982680286e+00 1.199999999999999956e+00 8.000000000000000167e-03 7.013774177284799738e-02 2.000000000000000042e-03 1.000000000000000021e-02 1.000000000000000056e-01 5.966234728709078894e+00 6.000000000000000000e+00 8.000000000000000167e-03 3.554231320449892095e+00 1.000000000000000021e-02 6.243918019646299555e-01 8.999999999999999667e-02
1.282491764099799525e+02 1.113264014632395416e+01 1.591514290053199110e+00 3.246231628474583353e+00 1.674127067694575199e+00 9.637990652567308913e+00 1.500000000000000000e+00 8.000000000000000167e-02 9.366561185237568532e-01 8.000000000000000167e-03 5.133423744961722324e-02 2.000000000000000042e-03 9.998755600940028437e-03 3.601073781399250495e-01 5.333285855393270047e+00 4.604445797950098118e+00 4.526649002442261621e-02 2.987359846035924082e+00 2.694048435914674425e-02 5.428448252768695026e-01 8.826483850339889026e-02
1.270006372349893695e+02 1.220455266997272936e+01 1.640418848321070877e+00 3.903475875046825916e+00 1.961219770801422957e+00 8.074152423827831271e+00 1.499999602147870981e+00 8.000000000000000167e-02 1.199999999999999956e+00 8.000000000000000167e-03 5.260215069398065102e-02 4.996935138325155241e-03 9.998641841385356305e-03 3.600131919580932260e-01 4.314089612823263309e+00 5.999998988887617735e+00 4.044139106391599070e-02 2.582212479246901449e+00 6.998884786303571914e-02 5.599815720505636474e-01 7.741736736396728769e-02
1.283369716491234840e+02 1.423658088473425387e+01 1.619436483417731720e+00 3.353705003172529953e+00 1.876168979647923729e+00 7.976524881054504412e+00 1.240489536845194030e+00 9.134223117298979899e-02 1.002762067744623398e+00 8.000000000000000167e-03 4.578007578150508627e-02 2.698502051233352822e-03 1.000000000000000021e-02 3.594648281338513329e-01 4.194554218854755767e+00 5.229270052948471914e+00 4.760849228375266251e-02 2.985918007098411930e+00 1.852570264750658807e-02 4.469642942224320570e-01 8.608186902124065343e-02
1.258187052404487929e+02 1.444104669619364678e+01 1.499165849218116575e+00 3.000000000000000000e+00 2.000000000000000000e+00 1.019668975438661640e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 8.000000000000000167e-03 6.009416642317410434e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.697141227310442591e-01 5.561228436480395665e+00 4.911488471702047498e+00 4.776624798868136373e-02 2.811908717531874213e+00 6.426580405553367070e-02 6.432040916964086863e-01 8.999999999999999667e-02
1.290877254710305522e+02 7.169273324145081006e+00 1.654422050504391173e+00 3.539638633950447311e+00 1.720824179734884884e+00 8.320872129524053307e+00 1.327044871135065751e+00 8.000000000000000167e-02 1.196760260773369833e+00 8.000000000000000167e-03 4.708966121573791158e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.869851087503964338e-01 5.494965652732523687e+00 5.016656325462177435e+00 2.941902841102032526e-02 2.878597616473747678e+00 5.389913131719601541e-02 5.623346343940782699e-01 8.518892387629831142e-02
1.318341065897843691e+02 1.993954671468027229e+01 1.395782861258473950e+00 3.104516023881908282e+00 1.567118206935226077e+00 1.078906299688472537e+01 1.412956009716153760e+00 5.743348668180791039e-01 1.016530495629776931e+00 3.780335314368778957e-03 3.540416541900782976e-02 4.560381166596006591e-03 8.864223126099099112e-03 3.683856789009992694e-01 4.632769465654238417e+00 4.541073743390104056e+00 3.296824183202067687e-02 3.250782634515513969e+00 1.307069663604894932e-02 3.802932968305554606e-01 8.921683357127349612e-02
1.266186060142273391e+02 9.663264776268382761e+00 1.556044411625683299e+00 3.333784529672767949e+00 2.000000000000000000e+00 8.275936420240565639e+00 1.499237696764363470e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.112590561750677765e-03 6.695798387471330049e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.651026859021039295e-01 5.072563229636144477e+00 4.464868145916170761e+00 3.867658195364584439e-02 2.877031571302489876e+00 5.759688929788885775e-02 5.280622753368614530e-01 8.999999999999999667e-02
1.341221857637182211e+02 1.152524430713337367e+01 1.568425844933782010e+00 3.156909518093025557e+00 1.305467633699396890e+00 8.317604430670590077e+00 1.496371690824779943e+00 7.598852389536928653e-01 1.003638991046356344e+00 8.000000000000000167e-03 6.857416659316699359e-02 4.968280094796718484e-03 1.000000000000000021e-02 3.817616597795617239e-01 5.427020602740855182e+00 4.945949595247274289e+00 2.345914313439634649e-02 3.289797109898363825e+00 3.396946873814282036e-02 2.602607155750362722e-01 8.981296829940645099e-02
1.258163018314215549e+02 1.678954213963442399e+01 1.411203352077959661e+00 3.154984589796847150e+00 2.000000000000000000e+00 9.625404875989030273e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.000000000000000021e-03 3.476865816175718493e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.681117635033533952e-01 5.099847824607429914e+00 4.054223536669099737e+00 5.000000000000000278e-02 3.028553007318353085e+00 3.388340111813942235e-02 4.296190777876088829e-01 8.999999999999999667e-02
1.255614267365237708e+02 1.100349089713043327e+01 1.668595315020252157e+00 3.000000000000000000e+00 2.000000000000000000e+00 7.000000000000000000e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.000000000000000021e-03 4.881182714373654558e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.684164742204421028e-01 5.195203490682120950e+00 5.389008785007209035e+00 5.000000000000000278e-02 2.785906088189889385e+00 6.880767226474067411e-02 3.658042603682513105e-01 8.999999999999999667e-02
1.349910387484314356e+02 1.274258393440125126e+01 1.523415614645662775e+00 3.717882479673187301e+00 1.515357708351452448e+00 9.763960520044193458e+00 1.359851281544306234e+00 8.479956075171344310e-01 1.134721234904809695e+00 8.000000000000000167e-03 5.887187922807473467e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.991303140302829289e-01 4.474166958091491786e+00 5.385914332911207580e+00 1.326660663350042943e-02 3.696023771067585617e+00 5.179217753991563478e-02 3.126782866281043738e-01 8.999999999999999667e-02
1.354044071555883022e+02 1.438243206387843465e+01 1.559978139040899769e+00 3.775366717766107882e+00 1.482478129361984864e+00 8.641874228245187695e+00 1.319489358981065896e+00 9.989018979423910372e-01 1.083363867121096336e+00 8.000000000000000167e-03 6.440468393889099696e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.815733756780553820e-01 4.332046178222537236e+00 5.726408857554785570e+00 1.602401980541112714e-02 3.506271086414514127e+00 4.872870043140700713e-02 4.469933810151593412e-01 8.996761997005180145e-02
2.091479383277330157e+02 1.880412901544759663e+01 1.097202484225978658e+00 3.000000000000000000e+00 1.000000000000000000e+00 7.163595093802621605e+00 9.075721421731374194e-01 1.886341254145458946e+00 1.199999999999999956e+00 8.000000000000000167e-03 2.999999999999999889e-02 2.000000000000000042e-03 1.000000000000000021e-03 1.000000000000000056e-01 4.739070031492918389e+00 6.000000000000000000e+00 8.039927332336140042e-03 3.950913429418434042e+00 1.000000000000000021e-02 6.999999999999999556e-01 8.999999999999999667e-02
1.342435562352858938e+02 1.525276072930502558e+01 1.523849199644166541e+00 3.967366942969323684e+00 1.658735495326590703e+00 9.717282699629610221e+00 1.335434836207258114e+00 7.596127872153974891e-01 1.110036382741862893e+00 3.890687286780204063e-03 4.356070517415909504e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.852621538749267383e-01 5.271853433974218461e+00 5.638717207979234480e+00 1.821283839764994278e-02 3.266726231841800665e+00 2.805284322891513776e-02 3.789118688881939478e-01 7.642891464618675745e-02
1.278720740311712092e+02 8.955648181971055166e+00 1.474392952830015702e+00 3.655710119155583193e+00 2.000000000000000000e+00 1.049263672786344337e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999998845e+00 8.000000000000000167e-03 5.579774548281508234e-02 3.646875264142512927e-03 1.000000000000000021e-02 3.858924720486594517e-01 4.499775448356662544e+00 4.116074807267015245e+00 2.959438743163774269e-02 2.979031205197179233e+00 5.321741624161246270e-02 5.291758983515700843e-01 8.999999999999999667e-02
1.350277498456307512e+02 8.604490442063472244e+00 1.664328216098369673e+00 3.609307068641664173e+00 1.184389603195536544e+00 1.007934683478367788e+01 1.315456025209328139e+00 6.597450885821083411e-01 8.899216971106693741e-01 8.000000000000000167e-03 5.185921876478475495e-02 4.999999992247058586e-03 1.000000000000000021e-02 3.949808092113849534e-01 5.337138672746617019e+00 5.221279035111996869e+00 1.766201101259975634e-02 3.652267538607782971e+00 2.263065304952489865e-02 4.564779899530850837e-01 8.975380245777096755e-02
1.334078340078538929e+02 5.433924341231993971e+00 1.777094467111466347e+00 3.438909012924912023e+00 1.427417651330586068e+00 9.181197436050535288e+00 1.414942507902609004e+00 3.949697924934089666e-01 8.764914091205471269e-01 8.000000000000000167e-03 4.432922105518786321e-02 2.006457014561542629e-03 9.702359427126744373e-03 4.076483789349439890e-01 5.638056870301034529e+00 4.939535052140242577e+00 2.089911392706210458e-02 3.585978635847886675e+00 1.000000002408785171e-02 4.115572831958170807e-01 8.963793987568433042e-02
1.259346284351186398e+02 1.946491541881831466e+01 1.471921255155746566e+00 3.043040900943809746e+00 2.000000000000000000e+00 1.024918111706392310e+01 1.500000000000000000e+00 1.123429618053761320e-01 1.199999999999999956e+00 1.000000000000000021e-03 3.185437439211276367e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.676891906447242175e-01 5.549332700207719959e+00 5.041366083019664934e+00 5.000000000000000278e-02 2.828123405726414408e+00 6.414408536864482646e-02 4.020388711938741588e-01 8.999999999999999667e-02
1.259533338935499955e+02 1.832294400169789483e+01 1.448052262111376498e+00 3.197558300889104199e+00 2.000000000000000000e+00 1.063197841372227970e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 7.795916189208294822e-03 2.999999999999999889e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.571716637669785643e-01 4.221293204187549719e+00 4.777546688109661766e+00 4.996096689664904916e-02 2.809655670474789702e+00 6.767190253406020484e-02 5.668581675248218765e-01 8.999999999999999667e-02
1.337376699574177792e+02 1.254296221407792622e+01 1.420361458973592672e+00 3.700511157173695498e+00 1.993841743540580635e+00 9.886110309537858853e+00 1.391599985228805680e+00 8.096975601809682788e-01 1.185561461863002153e+00 3.840875499063984254e-03 3.903766012059172591e-02 4.999999819209416212e-03 1.000000000000000021e-02 3.942025749804544676e-01 5.647573278058470869e+00 4.543233291024246334e+00 1.380651088971105930e-02 3.998943691901870157e+00 2.378951518672413681e-02 4.435960559531580416e-01 8.999694011223238754e-02
2.167802786551387726e+02 6.702376410799961270e+00 9.476198321506109634e-01 3.412473270396563674e+00 1.197551671309886601e+00 1.047008337031595993e+01 6.471880985040381340e-01 1.670321258534607223e+00 1.199999999999999956e+00 8.000000000000000167e-03 4.004561015947270125e-02 2.000000000000000042e-03 1.000000000000000021e-02 1.000000000000000056e-01 4.395192820110472631e+00 6.000000000000000000e+00 8.573609412637347299e-03 2.923107048012824727e+00 1.000000000000000021e-02 6.366280067122384034e-01 8.999999999999999667e-02
1.326459424219968639e+02 1.211844736956927093e+01 1.556947081971264746e+00 3.629985298843460662e+00 1.951651061061297820e+00 9.615741415240227852e+00 1.164021752916638786e+00 5.246827326051830553e-01 1.092729407995316482e+00 8.000000000000000167e-03 7.367412604828467437e-02 4.930907171338311593e-03 1.000000000000000021e-02 3.943440584046931652e-01 4.260459934952022465e+00 5.540688004651046050e+00 2.177972621932265304e-02 3.346088918227763553e+00 3.530413927055110757e-02 5.313019951699724519e-01 8.999985354890920053e-02
1.260604347492789259e+02 1.317742261293275874e+01 1.462314850186221538e+00 3.000000447538651915e+00 1.999999685566973717e+00 1.001542666036305462e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 6.584864423286613394e-03 3.000155817462690777e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.708751893599792626e-01 4.558333883084978666e+00 4.371114333432377208e+00 4.626991703297692743e-02 2.918288689297598104e+00 4.036311927750237810e-02 3.174311381369164242e-01 8.618702168604433500e-02
1.330845790981751122e+02 1.074160613331761027e+01 1.568604182664824709e+00 3.488333145533683677e+00 1.179821598430977891e+00 1.077899836694324520e+01 1.447305164139548905e+00 3.602483988981701746e-01 8.975384277638365216e-01 8.000000000000000167e-03 5.509872781972296324e-02 4.310706509755791484e-03 1.000000000000000021e-02 3.837065058264204631e-01 5.781742936909039621e+00 4.685124517805039801e+00 2.650787675591049011e-02 3.177565785962609635e+00 1.295886631043727082e-02 5.794060641828207014e-01 8.061911487729610248e-02
1.312749336745039841e+02 1.481460632009872036e+01 1.373467744268621393e+00 3.827979041263368742e+00 1.997404045362766389e+00 9.950850013866729071e+00 1.439764682773421178e+00 4.189936807317092282e-01 1.199999999999999956e+00 1.000000000000000021e-03 6.344616551237641788e-02 4.999999982685139621e-03 1.000000000000000021e-02 3.760713479751221500e-01 4.558052862660870730e+00 4.317303969301865330e+00 1.982962674678767287e-02 3.356614191792595570e+00 4.242642891393440252e-02 2.274103498904224419e-01 8.998777690169024179e-02
1.363672126915293461e+02 1.692461251361102370e+01 1.434614783977423258e+00 3.562083980827549290e+00 1.842027104812238747e+00 1.018607571468092665e+01 1.496086332478466341e+00 1.802540249165681008e+00 1.199999999999999956e+00 8.000000000000000167e-03 5.153352535115898747e-02 4.333659038349877216e-03 1.000000000000000021e-02 3.950649337232484126e-01 4.453624490359775479e+00 5.385794377154152990e+00 9.596794008904060286e-03 4.624153785115565185e+00 2.896645663951001592e-02 3.206901807657495662e-01 8.993996152570646330e-02
